# background genes,# genes,category,chart color,description,FDR value,genes,network.SUID,nodes.SUID,p-value,PMID,term name,transferred FDR value,year,FDR (-log10)
1363,17,GO Biological Process,,Response to endogenous stimulus,2.10E-10,CYP27B1|SMAD2|CASP6|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10255|10267|10309|10291|10312|10282|10261|10333|10252|10264|10300|10270|10294|10279|10258|10330|10285,2.15E-13,,GO:0009719,0.967778071,0,9.677780705
1669,18,GO Biological Process,,Regulation of cell population proliferation,2.73E-10,CSNK2A1|CYP27B1|SMAD2|CDK2|TP53|CEBPB|SMAD1|CASP3|SMAD3|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|AKT1|MYC|CTNNB1,10163,10306|10255|10267|10303|10291|10312|10282|10333|10252|10264|10300|10270|10321|10327|10294|10330|10318|10285,3.13E-13,,GO:0042127,0.956383735,0,9.563837353
3114,22,GO Biological Process,,Positive regulation of cellular metabolic process,2.94E-10,STUB1|SMAD2|CDK2|TP53|PLK1|CEBPB|SMAD1|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10315|10267|10303|10291|10297|10312|10282|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,3.56E-13,,GO:0031325,0.953165267,0,9.53165267
4736,25,GO Biological Process,,Negative regulation of cellular process,4.10E-10,CSNK2A1|STUB1|CYP27B1|RBL2|SMAD2|RCOR1|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10255|10276|10267|10324|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10327|10294|10279|10258|10330|10318|10285,5.23E-13,,GO:0048523,0.938721614,0,9.387216143
2056,19,GO Biological Process,,Positive regulation of nucleobase-containing compound metabolic process,4.68E-10,SMAD2|CDK2|TP53|CEBPB|SMAD1|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10267|10303|10291|10312|10282|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10258|10330|10318|10285,6.56E-13,,GO:0045935,0.932975415,0,9.329754147
6249,27,GO Biological Process,,Regulation of macromolecule metabolic process,4.75E-10,CSNK2A1|STUB1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10273|10258|10330|10318|10285,6.96E-13,,GO:0060255,0.932330639,0,9.32330639
4169,24,GO Cellular Component,,Nucleoplasm,5.80E-10,CSNK2A1|STUB1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10270|10321|10327|10273|10258|10330|10318|10285,5.67E-13,,GO:0005654,0.923657201,0,9.236572006
5506,26,GO Cellular Component,,Protein-containing complex,5.81E-10,CSNK2A1|STUB1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10321|10327|10294|10279|10258|10330|10318|10285,8.52E-13,,GO:0032991,0.923582387,0,9.235823868
1250,16,GO Biological Process,,Positive regulation of transcription by RNA polymerase II,7.20E-10,SMAD2|TP53|CEBPB|SMAD1|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10267|10291|10312|10282|10252|10288|10264|10300|10270|10321|10294|10279|10258|10330|10318|10285,1.10E-12,,GO:0045944,0.91426675,0,9.142667504
114,8,WikiPathways,,CKAP4 signaling pathway map,7.42E-10,TP53|CASP3|SMAD3|E2F1|CDK1|AKT1|MYC|CTNNB1,10163,10291|10333|10252|10264|10327|10330|10318|10285,4.75E-12,,WP5322,0.912959609,0,9.129596095
641,13,GO Biological Process,,Enzyme-linked receptor protein signaling pathway,7.72E-10,STUB1|SMAD2|TP53|SMAD1|CASP3|SMAD3|BMPR1A|SKI|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10315|10267|10291|10282|10333|10252|10300|10270|10294|10279|10258|10330|10285,1.23E-12,,GO:0007167,0.91123827,0,9.1123827
96,8,GO Biological Process,,Transforming growth factor beta receptor signaling pathway,7.80E-10,SMAD2|TP53|SMAD1|SMAD3|BMPR1A|SKI|ACVR1|SMAD5,10163,10267|10291|10282|10252|10300|10270|10279|10258,1.29E-12,,GO:0007179,0.91079054,0,9.107905397
256,10,GO Cellular Component,,RNA polymerase II transcription regulator complex,9.10E-10,SMAD2|CEBPB|SMAD1|SMAD3|MYB|E2F1|E2F4|SMAD5|MYC|CTNNB1,10163,10267|10312|10282|10252|10288|10264|10321|10258|10318|10285,1.78E-12,,GO:0090575,0.904095861,0,9.040958608
69,7,WikiPathways,,DNA damage response,1.37E-09,CDK2|TP53|CASP3|E2F1|CDK1|AKT1|MYC,10163,10303|10291|10333|10264|10327|10330|10318,1.05E-11,,WP707,0.886327943,0,8.863279433
2586,20,GO Biological Process,,Regulation of transcription by RNA polymerase II,1.48E-09,RBL2|SMAD2|RCOR1|CDK2|TP53|PLK1|CEBPB|SMAD1|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10276|10267|10324|10303|10291|10297|10312|10282|10252|10288|10264|10300|10270|10321|10294|10279|10258|10330|10318|10285,2.63E-12,,GO:0006357,0.882973828,0,8.829738285
2982,21,GO Biological Process,,Negative regulation of metabolic process,1.48E-09,CSNK2A1|CYP27B1|RBL2|SMAD2|RCOR1|CDK2|TP53|PLK1|CEBPB|SMAD1|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|CDK1|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10255|10276|10267|10324|10303|10291|10297|10312|10282|10333|10252|10288|10264|10300|10270|10327|10258|10330|10318|10285,2.55E-12,,GO:0009892,0.882973828,0,8.829738285
72,7,WikiPathways,,Chromosomal and microsatellite instability in colorectal cancer ,1.55E-09,SMAD2|TP53|CASP3|SMAD3|AKT1|MYC|CTNNB1,10163,10267|10291|10333|10252|10330|10318|10285,1.39E-11,,WP4216,0.88096683,0,8.809668302
876,14,GO Biological Process,,Positive regulation of cell differentiation,1.56E-09,CYP27B1|SMAD2|RCOR1|CEBPB|SMAD1|SMAD3|MYB|E2F1|BMPR1A|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10255|10267|10324|10312|10282|10252|10288|10264|10300|10294|10279|10258|10330|10285,2.91E-12,,GO:0045597,0.88068754,0,8.806875402
1332,16,GO Biological Process,,Positive regulation of developmental process,1.56E-09,CYP27B1|SMAD2|RCOR1|CEBPB|SMAD1|SMAD3|MYB|E2F1|BMPR1A|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10255|10267|10324|10312|10282|10252|10288|10264|10300|10327|10294|10279|10258|10330|10318|10285,2.88E-12,,GO:0051094,0.88068754,0,8.806875402
2609,20,GO Biological Process,,Cellular response to chemical stimulus,1.57E-09,STUB1|SMAD2|CASP6|CDK2|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10315|10267|10309|10303|10291|10312|10282|10261|10333|10252|10264|10300|10270|10327|10294|10279|10258|10330|10318|10285,3.11E-12,,GO:0070887,0.880410035,0,8.804100348
27,6,Reactome Pathways,,G0 and Early G1,1.89E-09,RBL2|CDK2|E2F1|E2F4|CDK1|MYC,10163,10276|10303|10264|10321|10327|10318,4.97E-12,,HSA-1538133,0.87235382,0,8.723538196
82,7,KEGG Pathways,,Colorectal cancer,2.10E-09,SMAD2|TP53|CASP3|SMAD3|AKT1|MYC|CTNNB1,10163,10267|10291|10333|10252|10330|10318|10285,3.28E-11,,hsa05210,0.867778071,0,8.677780705
146,8,KEGG Pathways,,Gastric cancer,2.10E-09,SMAD2|CDK2|TP53|SMAD3|E2F1|AKT1|MYC|CTNNB1,10163,10267|10303|10291|10252|10264|10330|10318|10285,3.13E-11,,hsa05226,0.867778071,0,8.677780705
2692,20,GO Biological Process,,Response to organic substance,2.65E-09,STUB1|CYP27B1|SMAD2|CASP6|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10315|10255|10267|10309|10291|10312|10282|10261|10333|10252|10264|10300|10270|10327|10294|10279|10258|10330|10318|10285,5.59E-12,,GO:0010033,0.857675413,0,8.576754126
1389,16,GO Biological Process,,Regulation of multicellular organismal development,2.65E-09,CYP27B1|RCOR1|TP53|CEBPB|SMAD1|SMAD3|MYB|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|AKT1|MYC|CTNNB1,10163,10255|10324|10291|10312|10282|10252|10288|10264|10300|10270|10327|10294|10279|10330|10318|10285,5.41E-12,,GO:2000026,0.857675413,0,8.576754126
5325,25,COMPARTMENTS,,Protein-containing complex,3.32E-09,CSNK2A1|STUB1|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10300|10270|10327|10294|10279|10273|10258|10330|10318|10285,8.67E-12,,GOCC:0032991,0.847886192,0,8.478861916
2019,18,GO Biological Process,,Cellular response to organic substance,3.64E-09,STUB1|SMAD2|CASP6|TP53|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|E2F1|BMPR1A|SKI|CDK1|BMPR1B|ACVR1|SMAD5|AKT1|CTNNB1,10163,10315|10267|10309|10291|10312|10282|10261|10333|10252|10264|10300|10270|10327|10294|10279|10258|10330|10285,7.88E-12,,GO:0071310,0.843889862,0,8.438898616
2760,20,GO Biological Process,,Negative regulation of macromolecule metabolic process,3.65E-09,CSNK2A1|RBL2|SMAD2|RCOR1|CDK2|TP53|PLK1|CEBPB|SMAD1|CASP3|SMAD3|MYB|E2F1|BMPR1A|SKI|CDK1|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10276|10267|10324|10303|10291|10297|10312|10282|10333|10252|10288|10264|10300|10270|10327|10258|10330|10318|10285,8.91E-12,,GO:0010605,0.843770714,0,8.437707136
1710,17,GO Biological Process,,"Positive regulation of transcription, DNA-templated",3.65E-09,SMAD2|CDK2|TP53|CEBPB|SMAD1|SMAD3|MYB|E2F1|BMPR1A|SKI|E2F4|BMPR1B|ACVR1|SMAD5|AKT1|MYC|CTNNB1,10163,10267|10303|10291|10312|10282|10252|10288|10264|10300|10270|10321|10294|10279|10258|10330|10318|10285,8.14E-12,,GO:0045893,0.843770714,0,8.437707136
68,7,GO Biological Process,,Positive regulation of osteoblast differentiation,3.75E-09,CEBPB|SMAD1|BMPR1A|BMPR1B|ACVR1|SMAD5|CTNNB1,10163,10312|10282|10300|10294|10279|10258|10285,9.57E-12,,GO:0045669,0.842596873,0,8.425968732
4787,24,COMPARTMENTS,,Nucleus,4.37E-09,CSNK2A1|STUB1|RBL2|SMAD2|RCOR1|CASP6|CDK2|TP53|PLK1|CEBPB|SMAD1|PRKACA|CASP3|SMAD3|MYB|E2F1|SKI|E2F4|CDK1|SUMO2|SMAD5|AKT1|MYC|CTNNB1,10163,10306|10315|10276|10267|10324|10309|10303|10291|10297|10312|10282|10261|10333|10252|10288|10264|10270|10321|10327|10273|10258|10330|10318|10285,1.33E-11,,GOCC:0005634,0.835951856,0,8.359518563
442,11,TISSUES,,Bone marrow cancer cell,7.60E-09,STUB1|SMAD2|RCOR1|PLK1|CASP3|SMAD3|MYB|E2F4|CDK1|AKT1|MYC,10163,10315|10267|10324|10297|10333|10252|10288|10321|10327|10330|10318,1.25E-11,,BTO:0000583,0.811918641,0,8.119186408
67,7,STRING Clusters,,"Mixed, incl. G1 Phase, and G0 and Early G1",7.95E-09,RBL2|CDK2|TP53|E2F1|E2F4|CDK1|MYC,10163,10276|10303|10291|10264|10321|10327|10318,8.69E-12,,CL:6897,0.809963287,0,8.099632871
54,6,WikiPathways,,TGF-beta receptor signaling,2.14E-08,SMAD2|SMAD1|SMAD3|SKI|SMAD5|CTNNB1,10163,10267|10282|10252|10270|10258|10285,2.19E-10,,WP560,0.766958623,0,7.669586227
244,9,TISSUES,,Erythroleukemia cell,2.21E-08,STUB1|RCOR1|PLK1|CASP3|MYB|E2F4|CDK1|AKT1|MYC,10163,10315|10324|10297|10333|10288|10321|10327|10330|10318,4.55E-11,,BTO:0000426,0.765560773,0,7.655607726
92,7,GO Biological Process,,BMP signaling pathway,2.39E-08,SMAD2|SMAD1|SMAD3|BMPR1A|BMPR1B|ACVR1|SMAD5,10163,10267|10282|10252|10300|10294|10279|10258,7.02E-11,,GO:0030509,0.76216021,0,7.621602099
210,8,KEGG Pathways,,Human T-cell leukemia virus 1 infection,2.41E-08,SMAD2|CDK2|TP53|PRKACA|SMAD3|E2F1|AKT1|MYC,10163,10267|10303|10291|10261|10252|10264|10330|10318,5.03E-10,,hsa05166,0.761798296,0,7.617982957
526,11,Reactome Pathways,,"Cell Cycle, Mitotic",2.53E-08,CSNK2A1|RBL2|CDK2|TP53|PLK1|PRKACA|E2F1|E2F4|CDK1|AKT1|MYC,10163,10306|10276|10303|10291|10297|10261|10264|10321|10327|10330|10318,7.76E-11,,HSA-69278,0.759687948,0,7.596879479
